,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed
452,groa,NO,62.65,8.72,51.8,50,75,17.22
453,monrovia,LR,6.3,-10.8,82.4,83,75,9.17
454,constitucion,CL,-35.33,-72.42,67.66,53,0,8.03
455,kutum,SD,14.2,24.67,79.11,24,75,16.62
456,red wing,US,44.56,-92.53,44.01,41,1,3.36
457,belaya gora,RU,68.53,146.42,6.66,95,100,5.93
458,shunyi,CN,40.12,116.65,53.01,75,0,2.24
459,le port,RE,-20.94,55.29,69.8,52,58,20.8
460,taoudenni,ML,22.68,-3.98,82.42,15,100,10.16
461,montevideo,UY,-34.83,-56.17,62.6,45,0,11.41
462,palafrugell,ES,41.92,3.16,57.99,89,27,4.05
463,antsohihy,MG,-14.88,47.99,75.74,48,100,13.24
464,jos,NG,9.92,8.9,69.98,36,98,4.54
465,beruwala,LK,6.48,79.98,78.78,82,100,2.73
466,helena,US,46.59,-112.04,60.01,60,1,8.05
467,letka,RU,59.6,49.42,34.84,92,98,9.04
468,masunga,BW,-20.62,27.45,82.4,11,0,8.05
469,dire dawa,ET,9.59,41.87,69.46,56,0,5.66
470,shizunai,JP,42.33,142.37,45.01,78,0,15.46
471,longkou,CN,37.65,120.33,55.26,58,100,12.3
472,barcelos,PT,41.54,-8.62,63.0,77,0,4.7
473,pangai,TO,-19.8,-174.35,75.2,60,40,12.75
474,muroran,JP,42.32,140.99,51.01,71,24,12.93
475,magdagachi,RU,53.45,125.8,22.32,96,100,6.64
476,upernavik,GL,72.79,-56.15,20.88,95,95,3.31
477,sarangani,PH,5.4,125.46,83.35,79,100,11.83
478,vallenar,CL,-28.57,-70.76,82.98,21,0,8.61
479,palmer,US,42.16,-72.33,34.0,92,75,8.05
480,syamzha,RU,60.02,41.06,38.12,87,100,6.35
481,purwodadi,ID,-7.09,110.92,78.1,83,98,2.77
482,beisfjord,NO,68.38,17.6,32.0,83,0,19.46
483,husavik,IS,66.04,-17.34,37.4,93,90,4.7
484,champerico,GT,14.3,-91.92,89.6,55,40,6.93
485,tvoroyri,FO,61.56,-6.81,46.4,87,21,26.4
486,lamar,US,33.67,-95.58,64.99,44,1,8.05
487,varkkallai,IN,8.73,76.71,84.2,79,40,2.91
488,muros,ES,42.78,-9.06,62.01,83,9,1.01
489,moroto,UG,2.53,34.67,71.71,57,99,4.99
490,kagoro,NG,9.6,8.38,72.46,49,84,2.86
491,vale da amoreira,PT,39.07,-7.7,66.99,78,0,2.57
492,pau brasil,BR,-15.46,-39.65,81.41,64,100,7.45
493,saint george,US,37.1,-113.58,70.0,22,1,2.59
494,falam,MM,22.92,93.68,58.96,100,77,0.67
495,port-gentil,GA,-0.72,8.78,80.6,88,75,9.17
496,henderson,US,36.04,-114.98,73.4,11,1,4.7
497,msanga,TZ,-6.05,36.03,73.4,56,20,17.22
498,aksarka,RU,66.56,67.8,32.94,95,100,12.08
499,mackay,AU,-21.15,149.2,75.2,83,17,9.17
500,angoche,MZ,-16.23,39.91,78.64,75,0,7.54
501,ponca city,US,36.71,-97.09,64.0,42,1,9.17
502,nishihara,JP,26.18,127.76,73.4,64,5,5.82
503,salalah,OM,17.02,54.09,78.8,61,0,4.7
504,hamilton,US,39.18,-84.53,50.0,61,75,9.17
505,balakhninskiy,RU,58.01,114.28,18.93,94,100,1.07
506,miami,US,25.77,-80.19,89.01,66,75,9.17
507,buala,SB,-8.14,159.59,78.22,79,90,1.52
508,imbituba,BR,-28.24,-48.67,73.4,46,40,13.87
509,rehoboth,NA,-23.32,17.08,72.37,38,14,2.44
510,kincardine,GB,56.07,-3.72,46.0,93,0,5.82
511,cubuk,TR,40.24,33.03,53.6,93,75,5.82
512,molteno,ZA,-31.4,26.36,51.84,84,100,9.04
513,mindelo,CV,16.89,-24.98,80.6,69,20,32.21
514,beringovskiy,RU,63.05,179.32,25.25,82,22,8.21
515,yuancheng,CN,36.65,107.79,41.7,60,27,10.74
516,kampot,KH,10.62,104.18,77.0,94,20,2.59
517,swellendam,ZA,-34.02,20.44,53.6,62,0,4.7
518,svobodnyy,RU,51.4,128.13,30.7,94,100,4.72
519,celendin,PE,-6.87,-78.15,66.2,15,90,9.17
520,nanakuli,US,21.39,-158.15,80.6,57,1,12.75
521,tutoia,BR,-2.76,-42.27,89.6,59,20,14.25
522,nouadhibou,MR,20.93,-17.03,71.6,68,0,18.34
523,beinamar,TD,8.67,15.38,80.29,44,26,2.1
524,coihaique,CL,-45.58,-72.07,69.8,37,0,5.82
525,kuusamo,FI,65.97,29.18,23.0,100,0,4.7
526,bojnurd,IR,37.47,57.33,46.4,31,0,3.47
527,damghan,IR,36.17,54.35,56.71,36,0,1.5
528,eyl,SO,7.98,49.82,81.36,75,15,10.69
529,praya,CV,14.92,-23.51,79.93,71,100,17.67
530,black river,JM,18.03,-77.85,87.01,74,20,14.99
531,arraial do cabo,BR,-22.97,-42.03,77.0,88,75,9.17
532,giyani,ZA,-23.3,30.72,76.15,63,0,17.09
533,jibuti,DJ,11.5,42.5,84.2,74,40,6.93
534,masterton,NZ,-40.96,175.66,62.01,94,100,3.0
535,qianguo,CN,45.12,124.86,45.57,51,100,18.07
536,majene,ID,-3.54,118.97,77.97,82,100,4.83
537,cooma,AU,-36.23,149.13,50.0,100,90,6.93
538,marsa matruh,EG,31.35,27.25,72.32,68,55,8.52
539,xuddur,SO,4.12,43.89,76.87,68,33,5.59
540,mungwi,ZM,-10.17,31.37,70.57,43,18,6.8
541,zyryanka,RU,65.75,150.85,2.53,94,95,0.31
542,borovskoy,KZ,53.8,64.15,29.93,94,39,7.27
543,russell,US,32.35,-85.2,66.2,48,1,17.22
544,coruripe,BR,-10.13,-36.18,80.2,76,100,14.2
545,bollnas,SE,61.35,16.39,41.67,88,99,2.35
546,daru,PG,-9.08,143.21,78.48,87,3,9.84
547,mayor pablo lagerenza,PY,-19.93,-60.77,86.27,27,0,12.48
548,carutapera,BR,-1.2,-46.02,85.12,62,100,8.77
549,missoula,US,47.02,-113.8,30.2,92,1,3.36
550,la palma,US,33.85,-118.05,80.01,38,1,3.22
551,mutoko,ZW,-17.4,32.23,74.55,36,0,9.22
552,pobe,BJ,6.98,2.66,76.46,92,100,5.17
553,maningrida,AU,-12.07,134.27,77.99,57,0,1.16
554,shaowu,CN,27.34,117.48,62.2,69,97,1.3
555,honiara,SB,-9.43,159.95,75.2,94,40,1.86
556,valdosta,US,30.83,-83.28,66.2,55,1,6.93
557,katsuura,JP,35.13,140.3,55.4,54,0,18.34
558,durban,ZA,-29.86,31.03,66.2,82,90,11.41
559,jiayuguan,CN,39.82,98.3,33.24,80,0,4.59
560,jinchang,CN,38.5,102.17,38.12,67,0,2.01
561,rock springs,US,41.59,-109.2,48.2,42,1,8.05
562,hazorasp,UZ,41.32,61.07,42.8,45,0,6.93
563,stromness,GB,58.97,-3.3,46.4,81,20,19.46
564,sao joao da barra,BR,-21.64,-41.05,80.6,83,75,18.34
565,kailua,US,21.4,-157.74,78.8,57,40,3.36
566,davila,PH,18.47,120.58,78.8,74,20,5.82
567,mkushi,ZM,-13.62,29.39,74.01,38,40,6.78
568,anadyr,RU,64.75,177.48,3.2,84,20,6.71
569,suluq,LY,31.67,20.25,66.52,64,16,5.57
570,vardo,NO,70.37,31.11,32.0,81,75,17.22
571,bizhbulyak,RU,53.7,54.26,36.01,81,89,8.52
572,viedma,AR,-40.81,-63.0,81.0,17,0,8.01
573,kaya,BF,13.09,-1.08,86.97,19,0,5.59
574,ghogha,IN,21.68,72.28,84.04,48,15,7.27
575,itarema,BR,-2.92,-39.92,83.71,62,42,17.72
576,atar,MR,20.52,-13.05,89.62,14,0,8.79
577,kavaratti,IN,10.57,72.64,82.22,75,68,9.08
578,sydney,AU,-33.87,151.21,66.2,88,75,17.22
579,sisimiut,GL,66.94,-53.67,21.76,91,98,6.13
580,te anau,NZ,-45.42,167.72,53.24,93,100,0.27
581,agadez,NE,19.75,10.25,74.97,19,0,8.7
582,polunochnoye,RU,60.87,60.42,29.8,95,18,4.27
583,golden,US,39.76,-105.22,64.99,21,5,5.82
584,itupiranga,BR,-5.13,-49.33,82.4,88,90,2.24
585,ulaangom,MN,49.98,92.07,24.69,92,38,2.35
